"source","category_code","category_path","unmapped_products_count"
wolt,СЛАДОСТИ 🍬 / Батончики,СЛАДОСТИ 🍬 / Батончики,2580
wolt,ИНТИМНЫЕ СМАЗКИ / Эротические масла,ИНТИМНЫЕ СМАЗКИ / Эротические масла,2578
wolt,"МАСЛО, СЫР, ЯИЦА 🥚 / Сыр","МАСЛО, СЫР, ЯИЦА 🥚 / Сыр",2560
wolt,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / МИНИ-БУТЫЛКИ,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / МИНИ-БУТЫЛКИ,2523
wolt,ЖЕНСКАЯ ГИГИЕНА 👸🏻,ЖЕНСКАЯ ГИГИЕНА 👸🏻,2523
wolt,"МАСЛО, СЫР, ЯЙЦА 🧀🥚 / Плавленые сыры","МАСЛО, СЫР, ЯЙЦА 🧀🥚 / Плавленые сыры",2497
wolt,БАКАЛЕЯ 🥨,БАКАЛЕЯ 🥨,2496
wolt,БЫТОВАЯ ХИМИЯ🧼 / Чистящие средства,БЫТОВАЯ ХИМИЯ🧼 / Чистящие средства,2489
wolt,СЕКС ИГРУШКИ ДЛЯ ЖЕНЩИН / Тренажеры для мышц влагалища,СЕКС ИГРУШКИ ДЛЯ ЖЕНЩИН / Тренажеры для мышц влагалища,2471
wolt,СЛАДОСТИ / ДРАЖЕ,СЛАДОСТИ / ДРАЖЕ,2449
wolt,"КОНФЕТЫ И СЛАДОСТИ 🍭 / Печенье и вафли","КОНФЕТЫ И СЛАДОСТИ 🍭 / Печенье и вафли",2433
wolt,ЧАЙ 🫖,ЧАЙ 🫖,2424
wolt,ВСЕ ДЛЯ ДОМА 🏡,ВСЕ ДЛЯ ДОМА 🏡,2418
